ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,DiscountPrice,SKUType,SKUCategory,PricePoint
214,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,,13.09,34.99,29.74,HL-U509,HL,Low
215,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,,12.03,33.64,28.6,HL-U509,HL,Low
218,23,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,U,3.4,9.5,8.07,SO-B909,SO,Low
219,23,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,U,3.4,9.5,8.07,SO-B909,SO,Low
220,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,,12.03,33.64,28.6,HL-U509,HL,Low
223,19,CA-1098,AWC Logo Cap,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,U,5.71,8.64,7.35,CA-1098,CA,Low
226,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U,31.72,48.07,40.86,LJ-0192,LJ,Low
229,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U,31.72,48.07,40.86,LJ-0192,LJ,Low
232,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U,31.72,48.07,40.86,LJ-0192,LJ,Low
235,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U,31.72,48.07,40.86,LJ-0192,LJ,Low
238,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.97,1263.46,1073.94,FR-R92R,FR,High
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.97,1263.46,1073.94,FR-R92R,FR,High
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.97,1263.46,1073.94,FR-R92R,FR,High
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.97,1263.46,1073.94,FR-R92R,FR,High
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.97,1263.46,1073.94,FR-R92R,FR,High
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,260.58,FR-R38R,FR,Mid-Range
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,505.61,FR-R72R,FR,High
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,505.61,FR-R72R,FR,High
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,505.61,FR-R72R,FR,High
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,505.61,FR-R72R,FR,High
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,505.61,FR-R72R,FR,High
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,252.99,FR-R38B,FR,Mid-Range
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1023.68,FR-M94S,FR,High
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.81,1364.5,1159.82,FR-M94S,FR,High
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.81,1364.5,1159.82,FR-M94S,FR,High
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1023.68,FR-M94S,FR,High
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1012.5,FR-M94B,FR,High
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.09,1349.6,1147.16,FR-M94B,FR,High
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.09,1349.6,1147.16,FR-M94B,FR,High
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1012.5,FR-M94B,FR,High
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1012.5,FR-M94B,FR,High
307,12,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1023.68,FR-M94S,FR,High
310,2,BK-R93R-62,"Road-150 Red, 62",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3041.53,BK-R93R,BK,High
311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3041.53,BK-R93R,BK,High
312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3041.53,BK-R93R,BK,High
313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3041.53,BK-R93R,BK,High
314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3041.53,BK-R93R,BK,High
315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1239.29,BK-R68R,BK,High
316,2,BK-R68R-60,"Road-450 Red, 60",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1239.29,BK-R68R,BK,High
317,2,BK-R68R-44,"Road-450 Red, 44",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1239.29,BK-R68R,BK,High
318,2,BK-R68R-48,"Road-450 Red, 48",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1239.29,BK-R68R,BK,High
319,2,BK-R68R-52,"Road-450 Red, 52",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1239.29,BK-R68R,BK,High
320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
324,2,BK-R50R-62,"Road-650 Red, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,594.23,BK-R50R,BK,High
332,2,BK-R50B-58,"Road-650 Black, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
334,2,BK-R50B-60,"Road-650 Black, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
336,2,BK-R50B-62,"Road-650 Black, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
340,2,BK-R50B-48,"Road-650 Black, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,594.23,BK-R50B,BK,High
344,1,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
345,1,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
352,1,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
356,1,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
358,1,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
360,1,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
